cityName,country,lat,lng,temp,humidity,cloudiness,winds
eydhafushi,MV,5.1033,73.0708,82.11,76,100,13.29
kroya,ID,-7.6331,109.2461,69.91,84,100,4.47
knysna,ZA,-34.0363,23.0471,54.97,83,100,1.07
bobo-dioulasso,BF,11.1771,-4.2979,81.05,74,20,3.44
kish,IR,26.5578,54.0194,91.67,79,1,9.22
port-gentil,GA,-0.7193,8.7815,75.27,86,100,11.72
novo aripuana,BR,-5.1206,-60.3797,103.75,15,38,4.38
rio preto da eva,BR,-2.6994,-59.6997,104.02,15,23,4.16
alice springs,AU,-23.7,133.8833,49.55,57,0,0.0
north haven,US,41.3909,-72.8595,87.12,65,20,9.22
morrope,PE,-6.5417,-80.0111,77.11,54,18,15.97
mokshan,RU,53.4365,44.6132,61.9,52,87,2.53
jabor,MH,5.921,169.6434,83.88,75,51,11.48
jiuquan,CN,39.7432,98.5174,71.92,33,11,3.09
margate,GB,51.3813,1.3862,65.7,85,100,4.0
pitimbu,BR,-7.4706,-34.8086,81.19,76,41,13.56
santa cruz,BO,-17.8,-63.1667,80.65,61,75,17.27
birao,CF,10.2849,22.7882,74.53,94,100,5.53
bel ombre,SC,-4.6167,55.4167,80.44,83,40,14.97
northam,GB,51.0333,-4.2167,71.64,77,25,10.74
cadale,SO,2.7603,46.3222,78.06,82,47,19.62
nuku'alofa,TO,-21.1333,-175.2,70.14,94,75,4.61
salalah,OM,17.0151,54.0924,78.87,90,72,4.45
minot,US,48.2325,-101.2963,82.62,51,0,8.05
conduaga,PH,8.862,117.4893,79.57,81,100,3.56
altai,MN,46.3722,96.2583,63.48,27,100,7.11
cova figueira,CV,14.8905,-24.2934,76.93,83,10,9.53
beau vallon,MU,-20.4189,57.6953,71.83,83,40,4.61
lompoc,US,34.6391,-120.4579,73.13,72,0,20.0
belyy yar,RU,53.6039,91.3903,60.69,82,0,2.24
xinqing,CN,48.2333,129.5,50.94,98,100,3.36
rotherham,GB,53.4301,-1.3568,74.14,68,0,3.33
sertanopolis,BR,-23.0586,-51.0364,86.07,26,100,15.73
jand,PK,33.4299,72.0193,91.98,33,0,6.85
victoriaville,CA,46.0501,-71.9658,85.48,68,2,6.8
laguna,US,38.421,-121.4238,77.85,53,0,4.61
san felipe jalapa de diaz,MX,18.0667,-96.5333,88.88,61,40,4.12
talara,PE,-4.5772,-81.2719,83.16,61,0,16.46
ambon,ID,-3.6954,128.1814,79.88,95,40,6.91
penonome,PA,8.5167,-80.3667,81.14,73,100,1.01
tabou,CI,4.423,-7.3528,76.62,85,54,8.41
sabha,LY,27.0377,14.4283,88.18,21,20,15.1
rio grande,BR,-32.035,-52.0986,57.94,95,100,23.62
luanda,AO,-8.8368,13.2343,71.6,83,40,5.75
okhotsk,RU,59.3833,143.3,50.27,63,100,1.81
oban,GB,56.4127,-5.4706,57.38,84,93,1.57
tsarevo,BG,42.1667,27.85,71.47,83,45,18.12
oriximina,BR,-1.7656,-55.8661,98.51,27,4,7.38
levuka,CA,50.1834,-105.4011,55.11,70,100,16.73
plettenberg bay,ZA,-34.0527,23.3716,54.79,80,100,0.94
hami,CN,42.8,93.45,88.9,16,30,21.59
chiredzi,ZW,-21.05,31.6667,73.62,40,0,5.53
poltavka,RU,54.3663,71.7632,49.68,72,92,11.16
novoishimskiy,KZ,53.1981,66.7694,48.27,69,82,8.21
mukalla,YE,14.5425,49.1242,87.31,72,100,4.56
nova vicosa,BR,-17.8919,-39.3719,77.79,64,10,11.7
posto fiscal rolim de moura,BR,-13.0833,-62.2667,106.34,19,29,3.31
regina,CA,50.4501,-104.6178,57.18,94,100,12.66
semirom,IR,31.4167,51.5667,70.83,24,68,4.34
cabo san lucas,MX,22.8909,-109.9124,93.76,55,20,10.36
ryotsu-minato,JP,38.0833,138.4333,79.57,86,96,3.78
al ghayzah,YE,16.2079,52.176,80.08,86,90,10.6
atar,MR,20.5169,-13.0499,102.38,19,96,13.56
neiafu,TO,-18.65,-173.9833,66.88,100,20,0.0
martuk,KZ,50.7475,56.5056,61.5,52,21,2.33
mananjary,MG,-21.2167,48.3333,68.65,87,83,3.02
samarinda,ID,-0.5,117.15,73.56,95,5,2.62
kulhudhuffushi,MV,6.6221,73.07,81.14,79,100,10.02
dudinka,RU,69.4058,86.1778,34.63,93,31,7.34
ajra,IN,16.1167,74.2,69.08,98,100,3.91
jining,CN,35.405,116.5814,71.83,75,9,2.04
martapura,ID,-3.4167,114.85,75.29,94,7,1.14
vila velha,BR,-20.3297,-40.2925,76.95,84,40,19.57
mecca,SA,21.4267,39.8261,97.05,36,0,6.08
dankama,NG,13.2978,7.7949,84.9,55,100,11.74
malango,ID,-2.9627,119.9001,68.16,93,97,1.1
isiro,CD,2.7739,27.616,67.24,99,85,2.21
saposoa,PE,-6.934,-76.7716,76.01,43,77,3.33
khvoynaya,RU,58.9,34.5333,58.48,67,100,3.96
rampur,IN,28.8167,79.0333,80.53,83,0,5.57
micheweni,TZ,-4.9667,39.8333,76.06,83,0,12.97
anchorage,US,61.2181,-149.9003,54.48,87,100,4.61
ukrainka,UA,50.1432,30.7461,66.6,53,77,8.46
kokopo,PG,-4.352,152.2633,75.06,90,27,8.39
worland,US,44.0169,-107.9554,62.96,87,100,8.05
kavaratti,IN,10.5669,72.642,81.81,79,100,11.52
colonia,DE,50.9333,6.95,70.56,63,0,3.44
mugia,ES,43.1041,-9.2179,64.9,87,100,8.41
tobelo,ID,1.7284,128.0095,76.95,93,100,2.75
garoua boulai,CM,5.8833,14.55,66.22,95,100,3.71
oyama,JP,36.3,139.8,82.58,96,11,2.33
salekhard,RU,66.53,66.6019,46.08,74,75,4.56
bangolo,CI,7.0069,-7.475,73.26,94,70,3.87
chany,RU,55.3121,76.7647,50.92,89,100,11.9
kargasok,RU,59.0556,80.8572,53.74,97,100,8.19
turuntayevo,RU,52.2,107.6167,46.49,91,1,1.12
sao gabriel da cachoeira,BR,-0.1303,-67.0892,93.0,52,20,6.91
obsharovka,RU,53.125,48.8531,62.83,42,6,2.55
guamuchil,MX,25.4667,-108.1,97.68,38,1,6.85
champerico,GT,14.3,-91.9167,91.94,65,38,7.34
thunder bay,CA,48.4001,-89.3168,75.11,73,75,12.66
tiznit,MA,29.5833,-9.5,67.3,60,84,7.14
iquique,CL,-20.2208,-70.1431,68.04,66,1,5.86
el salto,MX,20.3333,-104.5,76.57,69,22,1.77
yei,SS,4.095,30.6779,68.29,96,40,2.57
zanzibar,TZ,-6.1639,39.1979,74.46,85,30,9.15
hitachi,JP,36.6,140.65,74.66,100,9,2.68
zhovti vody,UA,48.3473,33.5003,69.58,45,19,14.18
lerwick,GB,60.1545,-1.1494,57.2,95,100,17.11
nguigmi,NE,14.2495,13.1092,87.93,48,86,12.77
